OBJECTID,Name,Layer,Average housing prices,School density,Distance away from the CBD,Technology companies,Commercial building density,Medical institution density,Road density,Financial institution density,Retail store density,Park density
233,Andingmen Subdistrict ,neighborhood,127646.8946,13.82,6.69,1,42.61,21.31,20.89,2.88,42.04,23
268,Anding town,neighborhood,28756.29558,0.18,33.06,2,0.1,0.44,5.05,0.18,1.17,0.8
299,Anzhen sub district,neighborhood,84860.48593,16.22,8.92,12,36.05,36.5,17.08,27.94,33.34,18
280,Olympic Village sub district,neighborhood,77119.39302,2.8,13.79,51,8.86,9.33,16.27,6.06,5.75,9.3
78,Babaoshan sub district,neighborhood,58703.55517,4.84,19.34,1,10.96,20.39,11.4,13.51,23.19,30.6
18,Badaling town,neighborhood,21687.01413,0.03,63.65,0,0.41,0.1,3.39,0.08,0.57,0.6
77,Bajiao sub district,neighborhood,49818.50724,11.78,22.61,4,18.74,14.85,9.55,8.56,37.47,10.7
176,Balizhuang sub district,neighborhood,93067.67,9.24,2.35,28,34.02,21.55,20.39,13.85,28.79,18.5
311,Balizhuang sub district,neighborhood,61057.53117,9.07,15.14,46,37.05,43.35,33.39,32.26,34.03,2.5
24,Baizhifang sub district,neighborhood,99363.82557,9.97,9.83,8,43.4,21.86,16.44,15.43,52.72,16.1
15,Baiquan sub district,neighborhood,22011.6597,3.95,72.95,3,10.03,10.94,7.99,5.77,21.88,9.1
315,Baishan town,neighborhood,35923.28754,0.46,30.6,1,0.92,0.92,3.29,0.17,1.67,0.9
138,Baoshan town,neighborhood,33910.05208,0.01,99.02,1,0.01,0.04,0.56,0.02,0.29,0.1
148,Beifang Town,neighborhood,26663.11042,0.29,51.3,5,0.37,1.04,3.93,0.16,1.71,0.5
264,Beijing Economic and Technological Development Zone,neighborhood,42263.21869,1.04,16.6,104,7.63,4.2,8.76,2.7,2.16,2.4
119,Beijing Miyun Economic Development Zone,neighborhood,23885.34805,0.28,56.38,9,1.68,0.14,5.58,0.77,2.23,2.8
144,Beijing Yanqi Economic Development Zone,neighborhood,29019.22369,0.72,53.1,14,2.38,0.21,10,0.93,2.07,3.1
324,Beiqijia town,neighborhood,46996.41972,1.76,22.75,14,6.95,3.98,4.68,0.95,3.25,2.8
62,Beishicao town,neighborhood,32003.5014,0.12,38.71,2,0.15,0.52,3.7,0.09,1.48,0.9
165,North Taipingzhuang sub district,neighborhood,95172.199,25.44,10.91,26,43.5,21.75,20.12,14.19,34.84,7.4
53,Beiwu town,neighborhood,31253.62814,0.22,34.3,3,0.25,0.5,2.95,0.06,2.05,0.3
170,Beixiaguan sub district,neighborhood,102524.2522,26.92,12.25,81,48.38,27.91,13.32,22.95,46.73,16.5
71,Beixiaoying town,neighborhood,31321.00889,0.23,39.96,3,0.25,0.78,2.5,0.15,1.84,1.7
241,Beixinqiao Subdistrict ,neighborhood,117149.5188,7.49,5.14,13,46.07,30.71,20.37,24.35,46.07,11.2
40,Beiyuan sub district,neighborhood,43246.94626,10.12,14.48,9,31.01,25.29,10.45,14.95,31.23,2.2
267,Beizang Village town,neighborhood,32842.6448,0.55,32.11,1,0.87,1.83,7.07,0.2,1.4,0.4
111,Beizhuang town,neighborhood,24360.21776,0.04,88.67,1,0.05,0.07,0.61,0.06,0.36,0.1
