OBJECTID,Name,Layer,Average housing prices,Distance away from CBD,Financial institution density,Retail store density,School density,Park density,Technology companies,Commercial building density,Medical institution density,Road density
233,Andingmen sub district ,neighborhood,135993.75,6.69,2.88,42.04,14.97,28.8,1,42.61,21.31,20.89
268,Anding town,neighborhood,30305.95,33.06,0.18,1.17,0.15,0.6,2,0.1,0.44,5.05
299,Anzhen sub district,neighborhood,126000.93,8.92,27.94,33.34,15.77,13.5,12,36.05,36.5,17.08
280,Olympic Village sub district,neighborhood,79633.91,13.79,6.06,5.75,2.54,6.7,57,8.86,9.33,16.27
78,Babaoshan sub district,neighborhood,52553.02,19.34,13.51,23.19,5.1,22.9,1,10.96,20.39,11.4
18,Badaling town,neighborhood,17553.75,63.65,0.08,0.57,0.03,0.5,0,0.41,0.1,3.39
77,Bajiao sub district,neighborhood,44659.12,22.61,8.56,37.47,11.64,9.4,4,18.74,14.85,9.55
176,Balizhuang sub district,neighborhood,73134.49,2.35,13.85,28.79,16.38,30.2,25,34.02,21.55,20.39
311,Balizhuang sub district,neighborhood,93067.67,15.14,32.26,34.03,6.16,3.1,48,37.05,43.35,33.39
24,Baizhifang sub district,neighborhood,74204.37,9.83,15.43,52.72,9.32,6.4,7,43.4,21.86,16.44
15,Baiquan sub district,neighborhood,19190.68,72.95,5.77,21.88,3.34,9.1,3,10.03,10.94,7.99
315,Baishan town,neighborhood,41770.92,30.6,0.17,1.67,0.49,0.9,2,0.92,0.92,3.29
138,Baoshan town,neighborhood,30691.43,99.02,0.02,0.29,0.02,0.1,1,0.01,0.04,0.56
148,Beifang Town,neighborhood,31081.57,51.3,0.16,1.71,0.35,0.5,6,0.37,1.04,3.93
264,Beijing Economic and Technological Development Zone,neighborhood,44035.74,16.6,2.7,2.16,1.04,3.1,112,7.63,4.2,8.76
119,Beijing Miyun Economic Development Zone,neighborhood,26952.36,56.38,0.77,2.23,0.28,2.1,9,1.68,0.14,5.58
144,Beijing Yanqi Economic Development Zone,neighborhood,30950.24,53.1,0.93,2.07,0.83,3.1,12,2.38,0.21,10
324,Beiqijia town,neighborhood,37503.43,22.75,0.95,3.25,1.69,2.8,16,6.95,3.98,4.68
62,Beishicao town,neighborhood,31440.72,38.71,0.09,1.48,0.09,0.9,2,0.15,0.52,3.7
