Average housing prices,School density,Park density,Distance away from CBD,keji,yiliao,Road density,Commercial building density,financial,government
0.82988747,0.15486329,0.480167015,0.048387097,0.005988024,0.213255907,0.622242369,0.672294099,0.026602623,0.523821433
0.088070661,0.002017033,0.016701461,0.277055151,0.011976048,0.004305166,0.1435479,0.001577785,0.001662664,0.012754783
0.508930029,0.18175706,0.375782881,0.067724592,0.071856287,0.365338406,0.507101843,0.568791417,0.258082394,0.415030636
0.450861024,0.031376065,0.194154489,0.109954908,0.305389222,0.093311974,0.482623149,0.139791732,0.055976353,0.07002626
0.312716715,0.054235769,0.638830898,0.158081859,0.005988024,0.204044854,0.335448776,0.172925213,0.124792167,0.288108041
0.035041165,0.000336172,0.012526096,0.542317031,0,0.000901081,0.093381686,0.006468918,0.000738962,0.005251969
0.246066497,0.132003586,0.223382046,0.186437738,0.023952096,0.148578294,0.279540647,0.29567687,0.079068908,0.466675003
0.570495281,0.103541013,0.386221294,0.010752688,0.167664671,0.215658791,0.607132064,0.536762386,0.127932754,0.3581343
0.33037476,0.101636038,0.052192067,0.121661464,0.275449102,0.433920705,1,0.584569265,0.297986329,0.423658872
0.617725228,0.111721201,0.33611691,0.075615678,0.047904192,0.218762515,0.487760653,0.684758599,0.142527249,0.657371514
0.037476491,0.044262662,0.189979123,0.622962192,0.017964072,0.109431318,0.232396494,0.158251814,0.053297617,0.271726898
0.141833042,0.005154639,0.018789144,0.255723205,0.005988024,0.009110933,0.090359625,0.01451562,0.001570294,0.019007128
0.126730946,0.000112057,0.002087683,0.849028789,0.005988024,0.00030036,0.007857359,0.000157778,0.00018474,0.001750656
0.072368828,0.003249664,0.010438413,0.435223725,0.02994012,0.010312375,0.109700816,0.005837804,0.001477924,0.019507315
0.189391325,0.011653967,0.050104384,0.134321887,0.622754491,0.04195034,0.255666364,0.120384979,0.024939959,0.025134425
0.051531769,0.003137606,0.058455115,0.479275061,0.053892216,0.001301562,0.159564823,0.026506784,0.007112507,0.026009754
0.090042926,0.008068131,0.064718163,0.450832466,0.083832335,0.002002403,0.293139921,0.037551278,0.00859043,0.024009003
0.224896901,0.019722098,0.058455115,0.187651752,0.083832335,0.039747697,0.132366274,0.109656043,0.008775171,0.038764537
0.112429172,0.001344688,0.018789144,0.326049254,0.011976048,0.005106127,0.102750076,0.002366677,0.000831332,0.016631237
0.586282179,0.285073958,0.154488518,0.084980923,0.155688623,0.217661193,0.598972499,0.686336384,0.131073342,0.43378767
