Average housing prices,Distance away from CBD,Financial institution density,Retail store density,School density,Park density,Technology companies
1,0.048387097,0.026602623,0.523821433,0.168334645,0.60125261,0.006410256
0.107668018,0.277055151,0.001662664,0.012754783,0.00168672,0.012526096,0.012820513
0.915629686,0.067724592,0.258082394,0.415030636,0.177330485,0.281837161,0.076923077
0.524148598,0.109954908,0.055976353,0.07002626,0.02856179,0.139874739,0.365384615
0.295502111,0.158081859,0.124792167,0.288108041,0.057348476,0.478079332,0.006410256
0,0.542317031,0.000738962,0.005251969,0.000337344,0.010438413,0
0.228853175,0.186437738,0.079068908,0.466675003,0.130889464,0.196242171,0.025641026
0.469273387,0.010752688,0.127932754,0.3581343,0.184189812,0.630480167,0.16025641
0.637571091,0.121661464,0.297986329,0.423658872,0.069267964,0.064718163,0.307692308
0.478306484,0.075615678,0.142527249,0.657371514,0.104801529,0.133611691,0.044871795
0.013820753,0.622962192,0.053297617,0.271726898,0.03755763,0.189979123,0.019230769
0.204467832,0.255723205,0.001570294,0.019007128,0.005509952,0.018789144,0.012820513
0.110922661,0.849028789,0.00018474,0.001750656,0.000224896,0.002087683,0.006410256
0.11421665,0.435223725,0.001477924,0.019507315,0.00393568,0.010438413,0.038461538
0.223589919,0.134321887,0.024939959,0.025134425,0.011694591,0.064718163,0.717948718
0.079353343,0.479275061,0.007112507,0.026009754,0.003148544,0.043841336,0.057692308
0.113107818,0.450832466,0.00859043,0.024009003,0.009333183,0.064718163,0.076923077
0.168437015,0.187651752,0.008775171,0.038764537,0.019003711,0.058455115,0.102564103
0.117248987,0.326049254,0.000831332,0.016631237,0.001012032,0.018789144,0.012820513
0.623377406,0.084980923,0.131073342,0.43378767,0.279770606,0.154488518,0.16025641
0.074647079,0.287807839,0.000554221,0.02375891,0.002473856,0.006263048,0.019230769
0.656812817,0.096600763,0.211989655,0.582468426,0.326773867,0.344467641,0.467948718
0.104546353,0.336888658,0.001385553,0.021132925,0.002361408,0.035490605,0.019230769
0.880862631,0.034946237,0.224921485,0.574215331,0.092657146,0.233820459,0.083333333
0.21754897,0.115938259,0.138093479,0.388645742,0.111323513,0.137787056,0.064102564
0.107485984,0.268817204,0.001847404,0.015630862,0.007421568,0.004175365,0.025641026
0.011577001,0.759278529,0.000554221,0.002625985,0.00056224,0.002087683,0.006410256
0.047172492,0.507284079,0.238222797,0.734025259,0.068255932,0.317327766,0.038461538
0.122089412,0.498872702,0.000554221,0.004751782,0.000337344,0.006263048,0
0.013402904,0.759365245,0.00018474,0.002625985,0.000337344,0,0
0.059059946,0.293270898,0.001662664,0.024384144,0.003260992,0.016701461,0.012820513
0.279218423,0.08792924,0.045907999,0.10341378,0.046103677,0.271398747,0.070512821
0.64656459,0.012486993,0.522261223,0.739277229,0.092319802,0.096033403,0.102564103
0.734263678,0.024106833,0.366525032,1,0.16304959,0.319415449,0.038461538
0.130423421,0.339923691,0.064474413,0.25672127,0.081524795,0.158663883,0.166666667
